timestamp,busFleetNumber,routeTimetableID,routeNumber,routeDescription,routeTimetableStartTime,scheduleDayType,stopID,numberPassengersOnArrival,numberPassengersExited,numberPassengersBoarded,numberPassengersOnDeparture,maxSeatedPassengers,maxStandingPassengers,maxTotalPassengers,occupancyLevel
2016-01-23 17:49,100,11028,14,AAU Busterminal (Sigrid Undsetsvej / Aalborg) - Skelagervej,10:01,WEEKDAYS,851000300,0,0,10,10,50,30,80,0.125
2016-01-23 17:50,100,11028,14,AAU Busterminal (Sigrid Undsetsvej / Aalborg) - Skelagervej,10:01,WEEKDAYS,851983200,10,0,10,20,50,30,80,0.25
2016-01-23 17:50,100,11028,14,AAU Busterminal (Sigrid Undsetsvej / Aalborg) - Skelagervej,10:01,WEEKDAYS,851983300,20,0,10,30,50,30,80,0.375
2016-01-23 17:50,100,11028,14,AAU Busterminal (Sigrid Undsetsvej / Aalborg) - Skelagervej,10:01,WEEKDAYS,851211600,30,0,20,50,50,30,80,0.625
2016-01-23 17:50,100,11028,14,AAU Busterminal (Sigrid Undsetsvej / Aalborg) - Skelagervej,10:01,WEEKDAYS,851060800,50,2,5,53,50,30,80,0.6625
2016-01-23 17:50,100,11028,14,AAU Busterminal (Sigrid Undsetsvej / Aalborg) - Skelagervej,10:01,WEEKDAYS,851983600,53,0,1,54,50,30,80,0.675
2016-01-23 17:50,100,11028,14,AAU Busterminal (Sigrid Undsetsvej / Aalborg) - Skelagervej,10:01,WEEKDAYS,851983500,54,4,1,51,50,30,80,0.6375
2016-01-23 17:50,100,11028,14,AAU Busterminal (Sigrid Undsetsvej / Aalborg) - Skelagervej,10:01,WEEKDAYS,851982900,51,0,0,51,50,30,80,0.6375
2016-01-23 17:50,100,11028,14,AAU Busterminal (Sigrid Undsetsvej / Aalborg) - Skelagervej,10:01,WEEKDAYS,851013900,51,0,0,51,50,30,80,0.6375
2016-01-23 17:50,100,11028,14,AAU Busterminal (Sigrid Undsetsvej / Aalborg) - Skelagervej,10:01,WEEKDAYS,851009100,51,0,2,53,50,30,80,0.6625
2016-01-23 17:50,100,11028,14,AAU Busterminal (Sigrid Undsetsvej / Aalborg) - Skelagervej,10:01,WEEKDAYS,851971100,53,0,1,54,50,30,80,0.675
2016-01-23 17:50,100,11028,14,AAU Busterminal (Sigrid Undsetsvej / Aalborg) - Skelagervej,10:01,WEEKDAYS,851008200,54,5,2,51,50,30,80,0.6375
2016-01-23 17:50,100,11028,14,AAU Busterminal (Sigrid Undsetsvej / Aalborg) - Skelagervej,10:01,WEEKDAYS,851108200,51,0,10,61,50,30,80,0.7625
2016-01-23 17:50,100,11028,14,AAU Busterminal (Sigrid Undsetsvej / Aalborg) - Skelagervej,10:01,WEEKDAYS,851008900,61,2,4,63,50,30,80,0.7875
